id,guid,is_active,is_deleted,created_by,created_date,last_modified_by,last_modified_date,name,city_id
42,"",t,f,3965,2013-02-14 19:35:32,3965,2013-02-26 14:52:36,K R CIRCLE ,11
43,"",t,f,3965,2013-02-14 19:35:59,3965,2013-02-26 14:18:17,JAYALAKSHMIPURAM,11
44,"",t,f,3965,2013-02-14 19:36:25,3965,2013-02-26 14:24:10,SRIRAMPURA,11
45,"",t,f,3965,2013-02-14 19:36:52,3965,2013-02-26 14:20:04,SARASWATHI PURAM ,11
46,"",t,f,3965,2013-02-14 19:37:23,3965,2013-02-26 14:58:28,ITTIGEGUD,11
47,"",t,f,3965,2013-02-14 19:37:59,3965,2013-02-26 15:31:20,YADAVAGIRI,11
48,"",t,f,3965,2013-02-14 19:38:36,3965,2013-02-26 14:43:23,HINKAL,11
49,"",t,f,3965,2013-02-14 19:39:18,3965,2013-02-26 14:50:38,GOKULAM EXTENSION ,11
50,"",t,f,3965,2013-02-14 19:39:59,3965,2013-02-26 15:29:18,TILAK NAGAR ,11
51,"",t,f,3965,2013-02-14 19:40:30,3965,2013-02-26 14:20:58,VISHWESHWARA NAGAR ,11
52,"",t,f,3965,2013-02-15 12:37:13,3965,2013-02-26 14:11:34,AIKALA ,8
53,"",t,f,3965,2013-02-15 12:38:09,3965,2013-02-26 12:46:22,ELINJE,8
54,"",t,f,3965,2013-02-15 12:41:08,3965,2013-02-26 12:52:40,KOLLUR,8
55,"",t,f,3965,2013-02-15 12:44:18,3965,2013-02-26 13:00:05,BAJPE,8
56,"",t,f,3965,2013-02-15 12:49:50,3965,2013-02-26 14:14:19,KALAVARA,8
57,"",t,f,3965,2013-02-15 12:51:49,3965,2013-02-26 12:48:48,KENJAR,8
58,"",t,f,3965,2013-02-15 12:56:30,3965,2013-02-26 12:57:33,PADUPER,8
59,"",t,f,3965,2013-02-15 13:07:43,3965,2013-02-26 13:03:35,PEJAVARAKODMANNU,8
60,"",t,f,3965,2013-02-15 13:08:54,3965,2013-02-26 12:45:29,MERMAJAL,8
61,"",t,f,3965,2013-02-15 13:10:22,3965,2013-02-26 12:52:00,THUMBE,8
62,"",t,f,3965,2013-02-15 13:12:05,3965,2013-02-26 12:58:59,FARANGIPET,8
63,"",t,f,3965,2013-02-15 13:13:32,3965,2013-02-26 14:12:57,KOLAVOOR,8
64,"",t,f,3965,2013-02-15 13:15:31,3965,2013-02-26 14:28:19,KOMPADAVU,8
65,"",t,f,3965,2013-02-15 13:17:08,3965,2013-02-26 12:56:47,MOGARU,8
66,"",t,f,3965,2013-02-15 14:36:30,3965,2013-02-26 13:01:12,NARUDE,8
67,"",t,f,3965,2013-02-16 10:35:04,3965,2013-02-26 12:41:30,HEALENGADY,8
68,"",t,f,3965,2013-02-16 10:36:43,3965,2013-02-26 12:51:06,PADUPANAMBUR,8
69,"",t,f,3965,2013-02-16 10:39:04,3965,2013-02-26 12:47:46,THOKUR,8
70,"",t,f,3965,2013-02-16 10:43:44,3965,2013-02-26 12:38:06,BANKAPURCHOWKI,9
72,"",t,f,3965,2013-02-16 10:49:21,3965,2013-02-26 12:34:55,KESHWAPUR,9
73,"",t,f,3965,2013-02-16 10:50:24,3965,2013-02-26 12:36:28,KRISNAPUR,9
74,"",t,f,3965,2013-02-16 10:51:57,3965,2013-02-26 12:19:44,MOORUSAVIRAMATH,9
76,"",t,f,3965,2013-02-16 10:54:17,3965,2013-02-26 12:34:13,COTTONMARKET,9
77,"",t,f,3965,2013-02-16 10:55:25,3965,2013-02-26 12:35:37,SIDDHAROODNAGAR,9
79,"",t,f,3965,2013-02-16 11:02:05,3965,2013-02-26 12:37:25,VIDYANAGAR,9
80,"",t,f,3965,2013-02-16 11:03:20,3965,2013-02-26 12:20:30,VINOBANAGAR,9
83,c4f6c657-a30f-4bdd-ae8c-d1c27119c283,t,f,3965,2013-02-25 14:39:09,SANGEETA,2019-09-02 11:56:22.018,AMARGALL,12
6,"",t,t,3965,2013-02-14 19:05:22,3965,2013-02-26 12:10:24,KORAMANGALA,1
86,3aff5b26-6386-4820-9242-be772268965d,t,f,3965,2013-02-25 14:43:06,GAURAV,2020-01-21 23:58:22.9,BEGUR,12
88,8682b027-ff16-4653-b6da-26b0217361ea,t,f,3965,2013-02-25 14:46:21,GAURAV,2020-01-21 23:58:31.074,BELAVANTER,12
89,630a26ff-2dec-4c7a-9c00-6f7cc8f9e1e9,t,f,3965,2013-02-25 14:47:23,GAURAV,2020-01-21 23:58:34.92,BENACHI,12
91,67aa5e8c-f7c9-4f4e-95c2-9e25dd276fda,t,f,3965,2013-02-25 14:50:00,GAURAV,2020-01-22 00:07:59.252,BYALAL,12
90,8ab74e4a-92de-4039-9b5c-e7ea7a170e43,t,f,3965,2013-02-25 14:48:31,GAURAV,2020-01-22 00:08:07.841,BARAVLI,12
93,c08c0120-3f24-495d-91e6-020f23510fd4,t,f,3965,2013-02-25 14:52:00,GAURAV,2020-01-22 00:08:11.695,CHEBBI,12
9,6de417cd-945f-4b49-bf5a-efbd005cffd6,t,f,3965,2013-02-14 19:07:32,GAURAV,2020-01-22 00:09:25.701,BASAVANAGUDI,1
29,88387ef3-0436-4eb6-90f7-49a41963588d,t,f,3965,2013-02-14 19:22:30,GAURAV,2020-01-22 00:11:28.766,SANJEEVINI NAGAR,1
132,ca682d76-3dfb-4af5-89ac-6e21b3b75f97,t,f,GAURAV,2018-11-11 00:51:57.588,GAURAV,2018-11-11 00:51:57.588,KASAVANAHALLI,1
133,c14c3d6f-9ce8-4f43-9728-cbd53f053ef4,t,f,SANGEETA,2019-03-07 13:55:43.947,SANGEETA,2019-03-07 13:55:43.947,ALANAVR,12
116,4ebbaa8f-1f88-413d-9c4b-a208e37f5a40,t,f,3965,2013-02-25 15:33:37,SANGEETA,2019-04-10 11:16:27.919,KUVEMPUTHEGAR,6
134,8227f348-a483-4fa4-8a8a-d7c72f3ee8ff,t,f,GAURAV,2019-05-01 18:53:00.943,GAURAV,2019-05-01 18:53:00.943,ESPLANADE,89
118,4a708441-239b-4e89-b9c7-96ef17428c62,t,f,3965,2013-02-25 15:42:09,SANGEETA,2019-05-14 14:24:41.883,KOTTAI,6
119,e2eed8fc-3636-4181-9138-34a8db59a26c,t,f,3965,2013-02-25 15:45:52,GAURAV,2019-05-16 17:32:21.573,KYATASANDRA,6
110,c9159ba1-bd5a-4f76-92a6-b6774b4b5b59,t,f,3965,2013-02-25 15:24:12,SANGEETA,2019-09-02 11:52:55.793,HEBBUR,6
120,ee632aae-2246-409a-acc2-7d48cb250796,t,f,3965,2013-02-25 15:53:21,GAURAV,2019-06-29 21:48:23.149,MADHUGIRI,6
121,1c4a82cb-3bbb-44e9-9fa9-943f3705aa64,t,f,3965,2013-02-25 15:54:41,GAURAV,2019-06-29 21:50:38.509,NAGASANDRAA,6
